Nrr1,Clsdt,Nrrdata,Nrrdaydt,Nrrwkdt,Nrrmtdt
NRI01,20060416,2.250000,0.006100,0.042800,0.185600
NRI01,20060417,2.250000,0.006100,0.042800,0.185600
NRI01,20060418,2.250000,0.006100,0.042800,0.185600
NRI01,20060419,2.250000,0.006100,0.042800,0.185600
NRI01,20060420,2.250000,0.006100,0.042800,0.185600
NRI01,20060421,2.250000,0.006100,0.042800,0.185600
NRI01,20060422,2.250000,0.006100,0.042800,0.185600
NRI01,20060423,2.250000,0.006100,0.042800,0.185600
NRI01,20060424,2.250000,0.006100,0.042800,0.185600
NRI01,20060425,2.250000,0.006100,0.042800,0.185600
NRI01,20060426,2.250000,0.006100,0.042800,0.185600
NRI01,20060427,2.250000,0.006100,0.042800,0.185600
NRI01,20060428,2.250000,0.006100,0.042800,0.185600
NRI01,20060429,2.250000,0.006100,0.042800,0.185600
NRI01,20060430,2.250000,0.006100,0.042800,0.185600
NRI01,20060501,2.250000,0.006100,0.042800,0.185600
NRI01,20060502,2.250000,0.006100,0.042800,0.185600
NRI01,20060503,2.250000,0.006100,0.042800,0.185600
NRI01,20060504,2.250000,0.006100,0.042800,0.185600
NRI01,20060505,2.250000,0.006100,0.042800,0.185600
NRI01,20060506,2.250000,0.006100,0.042800,0.185600
NRI01,20060507,2.250000,0.006100,0.042800,0.185600
NRI01,20060508,2.250000,0.006100,0.042800,0.185600
NRI01,20060509,2.250000,0.006100,0.042800,0.185600
NRI01,20060510,2.250000,0.006100,0.042800,0.185600
NRI01,20060511,2.250000,0.006100,0.042800,0.185600
NRI01,20060512,2.250000,0.006100,0.042800,0.185600
NRI01,20060513,2.250000,0.006100,0.042800,0.185600
NRI01,20060514,2.250000,0.006100,0.042800,0.185600
NRI01,20060515,2.250000,0.006100,0.042800,0.185600
NRI01,20060516,2.250000,0.006100,0.042800,0.185600
NRI01,20060517,2.250000,0.006100,0.042800,0.185600
NRI01,20060518,2.250000,0.006100,0.042800,0.185600
NRI01,20060519,2.250000,0.006100,0.042800,0.185600
NRI01,20060520,2.250000,0.006100,0.042800,0.185600
NRI01,20060521,2.250000,0.006100,0.042800,0.185600
NRI01,20060522,2.250000,0.006100,0.042800,0.185600
NRI01,20060523,2.250000,0.006100,0.042800,0.185600
NRI01,20060524,2.250000,0.006100,0.042800,0.185600
NRI01,20060525,2.250000,0.006100,0.042800,0.185600
NRI01,20060526,2.250000,0.006100,0.042800,0.185600
NRI01,20060527,2.250000,0.006100,0.042800,0.185600
NRI01,20060528,2.250000,0.006100,0.042800,0.185600
NRI01,20060529,2.250000,0.006100,0.042800,0.185600
NRI01,20060530,2.250000,0.006100,0.042800,0.185600
NRI01,20060531,2.250000,0.006100,0.042800,0.185600
NRI01,20060601,2.250000,0.006100,0.042800,0.185600
NRI01,20060602,2.250000,0.006100,0.042800,0.185600
NRI01,20060603,2.250000,0.006100,0.042800,0.185600
NRI01,20060604,2.250000,0.006100,0.042800,0.185600
NRI01,20060605,2.250000,0.006100,0.042800,0.185600
NRI01,20060606,2.250000,0.006100,0.042800,0.185600
NRI01,20060607,2.250000,0.006100,0.042800,0.185600
NRI01,20060608,2.250000,0.006100,0.042800,0.185600
NRI01,20060609,2.250000,0.006100,0.042800,0.185600
NRI01,20060610,2.250000,0.006100,0.042800,0.185600
NRI01,20060611,2.250000,0.006100,0.042800,0.185600
NRI01,20060612,2.250000,0.006100,0.042800,0.185600
NRI01,20060613,2.250000,0.006100,0.042800,0.185600
NRI01,20060614,2.250000,0.006100,0.042800,0.185600
NRI01,20060615,2.250000,0.006100,0.042800,0.185600
NRI01,20060616,2.250000,0.006100,0.042800,0.185600
NRI01,20060617,2.250000,0.006100,0.042800,0.185600
NRI01,20060618,2.250000,0.006100,0.042800,0.185600
NRI01,20060619,2.250000,0.006100,0.042800,0.185600
NRI01,20060620,2.250000,0.006100,0.042800,0.185600
NRI01,20060621,2.250000,0.006100,0.042800,0.185600
NRI01,20060622,2.250000,0.006100,0.042800,0.185600
NRI01,20060623,2.250000,0.006100,0.042800,0.185600
NRI01,20060624,2.250000,0.006100,0.042800,0.185600
NRI01,20060625,2.250000,0.006100,0.042800,0.185600
NRI01,20060626,2.250000,0.006100,0.042800,0.185600
NRI01,20060627,2.250000,0.006100,0.042800,0.185600
NRI01,20060628,2.250000,0.006100,0.042800,0.185600
NRI01,20060629,2.250000,0.006100,0.042800,0.185600
NRI01,20060630,2.250000,0.006100,0.042800,0.185600
NRI01,20060701,2.250000,0.006100,0.042800,0.185600
NRI01,20060702,2.250000,0.006100,0.042800,0.185600
NRI01,20060703,2.250000,0.006100,0.042800,0.185600
NRI01,20060704,2.250000,0.006100,0.042800,0.185600
NRI01,20060705,2.250000,0.006100,0.042800,0.185600
NRI01,20060706,2.250000,0.006100,0.042800,0.185600
NRI01,20060707,2.250000,0.006100,0.042800,0.185600
NRI01,20060708,2.250000,0.006100,0.042800,0.185600
NRI01,20060709,2.250000,0.006100,0.042800,0.185600
NRI01,20060710,2.250000,0.006100,0.042800,0.185600
NRI01,20060711,2.250000,0.006100,0.042800,0.185600
NRI01,20060712,2.250000,0.006100,0.042800,0.185600
NRI01,20060713,2.250000,0.006100,0.042800,0.185600
NRI01,20060714,2.250000,0.006100,0.042800,0.185600
NRI01,20060715,2.250000,0.006100,0.042800,0.185600
NRI01,20060716,2.250000,0.006100,0.042800,0.185600
NRI01,20060717,2.250000,0.006100,0.042800,0.185600
NRI01,20060718,2.250000,0.006100,0.042800,0.185600
NRI01,20060719,2.250000,0.006100,0.042800,0.185600
NRI01,20060720,2.250000,0.006100,0.042800,0.185600
NRI01,20060721,2.250000,0.006100,0.042800,0.185600
NRI01,20060722,2.250000,0.006100,0.042800,0.185600
NRI01,20060723,2.250000,0.006100,0.042800,0.185600
NRI01,20060724,2.250000,0.006100,0.042800,0.185600
NRI01,20060725,2.250000,0.006100,0.042800,0.185600
NRI01,20060726,2.250000,0.006100,0.042800,0.185600
NRI01,20060727,2.250000,0.006100,0.042800,0.185600
NRI01,20060728,2.250000,0.006100,0.042800,0.185600
NRI01,20060729,2.250000,0.006100,0.042800,0.185600
NRI01,20060730,2.250000,0.006100,0.042800,0.185600
NRI01,20060731,2.250000,0.006100,0.042800,0.185600
NRI01,20060801,2.250000,0.006100,0.042800,0.185600
NRI01,20060802,2.250000,0.006100,0.042800,0.185600
NRI01,20060803,2.250000,0.006100,0.042800,0.185600
NRI01,20060804,2.250000,0.006100,0.042800,0.185600
NRI01,20060805,2.250000,0.006100,0.042800,0.185600
NRI01,20060806,2.250000,0.006100,0.042800,0.185600
NRI01,20060807,2.250000,0.006100,0.042800,0.185600
NRI01,20060808,2.250000,0.006100,0.042800,0.185600
NRI01,20060809,2.250000,0.006100,0.042800,0.185600
NRI01,20060810,2.250000,0.006100,0.042800,0.185600
NRI01,20060811,2.250000,0.006100,0.042800,0.185600
NRI01,20060812,2.250000,0.006100,0.042800,0.185600
NRI01,20060813,2.250000,0.006100,0.042800,0.185600
NRI01,20060814,2.250000,0.006100,0.042800,0.185600
NRI01,20060815,2.250000,0.006100,0.042800,0.185600
NRI01,20060816,2.250000,0.006100,0.042800,0.185600
NRI01,20060817,2.250000,0.006100,0.042800,0.185600
NRI01,20060818,2.250000,0.006100,0.042800,0.185600
NRI01,20060819,2.520000,0.006800,0.047900,0.207600
NRI01,20060820,2.520000,0.006800,0.047900,0.207600
NRI01,20060821,2.520000,0.006800,0.047900,0.207600
