Indexcd,Trddt,Clsindex,Retindex
399108,20000515,85.179,0.005121
000001,20000516,1724.540,0.011704
000002,20000516,1834.350,0.011659
000003,20000516,42.100,0.017400
399001,20000516,4346.123,0.011451
399106,20000516,529.907,0.014716
399107,20000516,571.066,0.014662
399108,20000516,86.899,0.020193
000001,20000517,1725.400,0.000499
000002,20000517,1835.390,0.000567
000003,20000517,41.770,-0.007838
399001,20000517,4357.094,0.002524
399106,20000517,530.029,0.000230
399107,20000517,571.181,0.000201
399108,20000517,87.170,0.003119
000001,20000518,1758.540,0.019207
000002,20000518,1870.750,0.019266
000003,20000518,42.270,0.011970
399001,20000518,4439.386,0.018887
399106,20000518,542.415,0.023369
399107,20000518,584.599,0.023492
399108,20000518,88.162,0.011380
000001,20000519,1777.830,0.010969
000002,20000519,1891.380,0.011028
000003,20000519,42.430,0.003785
399001,20000519,4479.366,0.009006
399106,20000519,550.838,0.015529
399107,20000519,593.707,0.015580
399108,20000519,89.054,0.010118
000001,20000522,1824.740,0.026386
000002,20000522,1941.130,0.026304
000003,20000522,43.960,0.036059
399001,20000522,4573.426,0.020999
399106,20000522,565.570,0.026745
399107,20000522,609.554,0.026692
399108,20000522,91.953,0.032553
000001,20000523,1832.080,0.004022
000002,20000523,1948.930,0.004018
000003,20000523,44.160,0.004550
399001,20000523,4547.504,-0.005668
399106,20000523,566.000,0.000760
399107,20000523,610.076,0.000856
399108,20000523,91.140,-0.008841
000001,20000524,1855.490,0.012778
000002,20000524,1973.140,0.012422
000003,20000524,46.700,0.057518
399001,20000524,4616.098,0.015084
399106,20000524,572.175,0.010910
399107,20000524,616.658,0.010789
399108,20000524,93.229,0.022921
000001,20000525,1880.700,0.013587
000002,20000525,2000.080,0.013653
000003,20000525,46.960,0.005567
399001,20000525,4677.287,0.013256
399106,20000525,579.716,0.013180
399107,20000525,624.804,0.013210
399108,20000525,94.165,0.010040
000001,20000526,1879.620,-0.000574
000002,20000526,1998.720,-0.000680
000003,20000526,47.500,0.011499
399001,20000526,4662.296,-0.003205
399106,20000526,580.329,0.001057
399107,20000526,625.430,0.001002
399108,20000526,94.785,0.006584
000001,20000529,1898.750,0.010178
000002,20000529,2017.750,0.009521
000003,20000529,51.690,0.088211
399001,20000529,4701.228,0.008350
399106,20000529,586.496,0.010627
399107,20000529,631.521,0.009739
399108,20000529,103.981,0.097020
000001,20000530,1877.470,-0.011207
000002,20000530,1995.360,-0.011097
000003,20000530,50.500,-0.023022
399001,20000530,4640.022,-0.013019
399106,20000530,579.704,-0.011581
399107,20000530,624.260,-0.011498
399108,20000530,101.955,-0.019484
000001,20000531,1894.550,0.009097
000002,20000531,2012.030,0.008354
000003,20000531,55.150,0.092079
399001,20000531,4643.155,0.000675
399106,20000531,584.213,0.007778
399107,20000531,628.635,0.007008
399108,20000531,110.041,0.079309
000001,20000601,1903.490,0.004719
000002,20000601,2021.140,0.004528
000003,20000601,56.470,0.023935
399001,20000601,4695.467,0.011266
399106,20000601,587.267,0.005228
399107,20000601,631.837,0.005094
