,timestamp,title,url
FIN_zcgg_129,2019-12-06,财政部等三部门联合发文调整完善增值税留抵退税地方分担机制及预算管理有关事项,http://yss.mof.gov.cn/zhengceguizhang/201912/t20191205_3436434.htm
FIN_zcgg_130,2019-12-04,关于继续执行沪港、深港股票市场交易互联互通机制和内地与香港基金互认有关个人所得税政策的公告,http://szs.mof.gov.cn/zhengcefabu/201912/t20191204_3435001.htm
FIN_zcgg_131,2019-11-29,退役安置等补助资金管理办法修改印发,http://sbs.mof.gov.cn/zhengcefabu/201911/t20191129_3432277.htm
FIN_zcgg_132,2019-11-26,北京2022年冬奥会和冬残奥会税收优惠政策明确,http://szs.mof.gov.cn/zhengcefabu/201911/t20191119_3425213.htm
FIN_zcgg_133,2019-11-25,研发机构采购国产设备全额退还增值税政策继续执行,http://szs.mof.gov.cn/zhengcefabu/201911/t20191114_3422652.htm
FIN_zcgg_134,2019-11-20,2019年度符合公益性捐赠税前扣除资格的群众团体名单公布,http://szs.mof.gov.cn/zhengcefabu/201911/t20191118_3424190.htm
FIN_zcgg_135,2019-11-19,农业相关转移支付资金管理办法补充通知印发,http://nys.mof.gov.cn/czpjZhengCeFaBu_2_2/201911/t20191118_3424455.htm
FIN_zcgg_136,2019-11-13,《财政专项扶贫资金绩效评价指标评分表》调整印发,http://nys.mof.gov.cn/czpjZhengCeFaBu_2_2/201911/t20191112_3420712.htm
FIN_zcgg_137,2019-11-05,第二届中国国际进口博览会展期内销售的进口展品税收优惠政策明确,http://gss.mof.gov.cn/gzdt/zhengcefabu/201911/t20191105_3415916.htm
FIN_zcgg_138,2019-10-31,磷石膏资源综合利用等增值税政策明确,http://szs.mof.gov.cn/zhengcefabu/201910/t20191028_3411226.htm
FIN_zcgg_139,2019-10-31,财政部发文加强国家统一的会计制度贯彻实施工作,http://kjs.mof.gov.cn/zhengcefabu/201910/t20191031_3413259.htm
FIN_zcgg_140,2019-10-28,《普惠金融发展专项资金管理办法》修订发布,http://jrs.mof.gov.cn/zhengcefabu/201910/t20191025_3410053.htm
FIN_zcgg_141,2019-10-24,2020年全国会计专业技术初级资格考试大纲发布,http://kjs.mof.gov.cn/zhengcefabu/201910/t20191024_3408449.htm
