,China News-Based EPU,CNEPU,CN_Fiscal,CN_Monetary,CN_Trade,CN_EXR
2008-07-01,152.117919921875,174.25202518489064,129.053665722197,268.938521157069,198.747745343788,209.896025026625
2008-08-01,205.62844848632812,146.30267811606686,124.913027322289,198.251390608901,98.6693410441043,160.52596323758
2008-09-01,298.38702392578125,201.19463655757178,155.781938395593,222.722987363006,103.938659696496,171.919489786119
2008-10-01,187.5682373046875,213.48876628600377,296.588178364569,312.858485579527,125.036499165282,272.290649953535
2008-11-01,194.23703002929688,161.0340644187158,247.64816748537,179.861716844427,127.986044871078,130.458175616318
2008-12-01,232.76638793945312,158.14730862386403,251.921698675095,178.082829842743,119.416817346557,178.289149333631
2009-01-01,223.546875,132.32577216901132,167.275553606256,112.305713633735,65.3081606301222,94.8269795333922
2009-02-01,170.97813415527344,118.43892748355675,171.851819396155,99.8909831029483,75.3022334195357,80.5021454100975
2009-03-01,184.49575805664062,132.0652197223183,185.97993194443,111.044599960704,80.6512078883942,114.832277952443
2009-04-01,152.913330078125,120.3233498812223,138.906993938786,91.2458907922187,87.388719512927,80.1845169085054
2009-05-01,91.16470336914062,117.15093555779238,112.20372218192,90.0391115782305,55.701549622126,64.6697867442946
2009-06-01,131.52880859375,121.4746394512635,190.660975190042,125.89754489676,64.745466033727,89.8925382429011
2009-07-01,103.93191528320312,141.14697017023798,252.707512452946,188.87187102251,68.6597453356321,110.256202875485
2009-08-01,92.43109130859375,130.78714483700273,196.585772566772,183.7923032886,80.5974193389665,95.1859405316457
2009-09-01,160.95164489746094,118.462142729094,152.1289321798,122.851153187594,124.63727461351,82.3454170534419
2009-10-01,75.7962646484375,111.00120888071822,155.225440954608,125.121400010519,78.9771441702031,135.570976755199
2009-11-01,68.89027404785156,129.48393347618048,170.142181600742,157.32692540005,118.008540704222,177.35839646792
2009-12-01,74.85823059082031,138.35446552338092,261.596947397302,170.517747626951,140.673083887147,151.852326077577
2010-01-01,95.7820816040039,146.87542211498385,164.083012369078,218.91937291072,96.372295963982,124.945212235561
2010-02-01,103.44437408447266,136.0350847420574,170.242952436278,178.308182171715,65.2385344681967,133.402409928949
2010-03-01,90.39569854736328,132.4974066928134,198.735311428714,193.98099985067,237.426321141107,235.989379040083
2010-04-01,46.74542999267578,138.36750599333388,137.674253232313,166.072624265846,125.427430706427,165.326784603333
2010-05-01,156.54861450195312,175.13524595821943,198.607924065875,189.929923504057,113.655825830627,201.147092519295
